word,meaning
features,ones structure or makeup form shape bodily proportions.
whom,interrogative what person or people which person or people.
patients,a person or animal who receives treatment from a doctor or other medically educated person.
latest,near the end of a period of time.
polymerase,any of various enzymes that catalyze the formation of polymers of dna or rna using an existing strand of rna or dna respectively as a template.
radiologic,of or pertaining to radiology.
wholesale,the sale of products often in large quantities to retailers or other merchants.
peripheral,a peripheral device.
caused,to set off an event or action.
abnormalities,the state or quality of being abnormal variation irregularity.
those,demonstrative the thing person idea quality event action or time indicated or understood from context especially if more remote geographically temporally or mentally than one designated as this or if expressing distinction.
consolidation,the act or process of consolidating making firm or uniting the state of being consolidated
swab,a small piece of soft absorbent material such as gauze used to clean wounds apply medicine or take samples of body fluids. often attached to a stick or wire to aid access.
therapeutic,a therapeutic agent
according,to make to agree or correspond to suit one thing to another to adjust.
presentation,the act of presenting or something presented
on,to switch on
current,the generally unidirectional movement of a gas or fluid.
emergency,a situation which poses an immediate risk and which requires urgent attention.
healthy,enjoying health and vigor of body mind or spirit well.
imaging,to represent by an image or symbol to portray.
time,the inevitable progression into the future with the passing of present and past events.
essential,a necessary ingredient.
reported,to relate details of an event or incident to recount describe something.
diagnosis,to determine which disease is causing a sick persons signs and symptoms to find the diagnosis.
japan,a hard black enamel varnish containing asphalt.
specimens,an individual instance that represents a class an example.
given,ditransitive to move shift provide something abstract or concrete to someone or something or somewhere.
accounting,to provide explanation.
government,the body with the power to make andor enforce laws to control a country land area people or organization.
such,something being indicated that is similar to something else.
changes,the process of becoming different.
low,something that is low a low point.
alleged,to state under oath to plead.
with,along together with others in a group etc.
contagious,of a disease easily transmitted to others.
detect,to discover or find by careful search examination or probing
constitute,an established law.
population,the people living within a political or geographical boundary.
diagnosis,to determine which disease is causing a sick persons signs and symptoms to find the diagnosis.
months,a period into which a year is divided historically based on the phases of the moon.
during,to last continue endure.
results,that which results the conclusion or end to which any course or condition of things leads or which is obtained by any process or operation consequence or effect.
gene,a theoretical unit of heredity of living organisms a gene may take several values and in principle predetermines a precise trait of an organisms form phenotype such as hair color.
it,one who is neither a he nor a she a creature a dehumanized being.
origin,the beginning of something.
that,something being indicated that is there one of those.
studies,an academic field of study concerning the given subject.
province,a region of the earth or of a continent a district or country.
must,something that is mandatory or required.
tool,a mechanical device intended to make a task easier.
top,the highest or uppermost part of something.
positive,a thing capable of being affirmed something real or actual.
typical,anything that is typical normal or standard.
distribution,an act of distributing or state of being distributed.
implies,of a proposition to have as a necessary consequence
risk,a possible adverse event or outcome
highly,in a high or esteemed manner.
performance,the act of performing carrying into execution or action execution achievement accomplishment representation by action.
five,the digitfigure 5.
many,a multitude a great aggregate a mass of people the generality the common herd.
novel,newly made formed or evolved having no precedent of recent origin new.
transportation,the act of transporting or the state of being transported conveyance often of people goods etc.
whereas,a clause as in legal documents stating whereas.
just,factually right correct factual.
throat,the front part of the neck.
or,connects at least two alternative words phrases clauses sentences etc. each of which could make a passage true. in english this is the inclusive or. the exclusive or is formed by either ... or.
city,a large settlement bigger than a town sometimes with a specific legal definition depending on the place.
vaccines,a substance given to stimulate the bodys production of antibodies and provide immunity against a disease without causing the disease itself in the treatment prepared from the agent that causes the disease or a related also effective but safer disease or a synthetic substitute.
local,a person who lives near a given place.
were,a man a husband
cases,an actual event situation or fact.
documented,to record in documents.
total,an amount obtained by the addition of smaller amounts.
died,to stop living to become dead to undergo death.
initial,the first letter of a word or a name.
confirmed,to strengthen to make firm or resolute.
larger,of considerable or relatively great size or extent.
means,to lament.
drugs,a substance used to treat an illness relieve a symptom or modify a chemical process in the body for a specific purpose.
seafood,fish shellfish seaweed and other edible aquatic life.
as,to such an extent or degree to the same extent or degree.
absence,a state of being away or withdrawn from a place or from companionship the period of being away.
person,an individual usually a human being.
from,used to indicate source or provenance.
not,a unary operation on logical values that changes true to false and false to true.
recently,in the recent past
by,a flying insect of the clade anthophila within the hymenopteran superfamily apoidea known for its organised societies though only a minority have them for collecting pollen and in some species producing wax and honey.
pulmonary,pertaining to having or affecting the lungs.
in,a position of power or influence or a way to get it.
testing,to challenge.
provide,to make a living earn money for necessities.
accumulative,characterized by accumulation serving to collect or amass
isolate,something that has been isolated.
as,to such an extent or degree to the same extent or degree.
key,an object designed to open and close a lock.
easy,something that is easy
blood,a member of the los angeles gang the bloods.
version,a specific form or variation of something.
related,to tell in a descriptive way.
virus,a submicroscopic noncellular structure consisting of a core of dna or rna surrounded by a protein coat that requires a living host cell to replicate and often causes disease in the host organism.
a,the name of the latin script letter aa.
samples,a part or snippet of something taken or presented for inspection or shown as evidence of the quality of the whole a specimen.
syndrome,a recognizable pattern of signs symptoms andor behaviours especially of a disease or medical or psychological condition.
immediately,in an immediate manner instantly or without delay.
sensitivity,the quality or state of being sensitive sensitiveness.
viral,a video image or text spread by word of mouth on the internet or by email for humorous political or marketing purposes.
may,to be strong to have power over.
unknown,to undo the process of knowing to lose knowledge of something.
patchy,full of or covered with patches abounding in patches.
severe,very bad or intense.
acute,a person who has the acute form of a disorder such as schizophrenia.
other,an other another person etc more often rendered as another.
a,the name of the latin script letter aa.
sequencing,to arrange in an order
appropriate,to make suitable to suit.
bat,any of the flying mammals of the order chiroptera usually small and nocturnal insectivorous or frugivorous.
medical,a medical examination.
same,not different or other not another or others not different as regards self selfsame identical.
sample,a part or snippet of something taken or presented for inspection or shown as evidence of the quality of the whole a specimen.
multifocal,arising from or occurring in more than one focus or location.
also,focus in addition besides as well further too.
number,an abstract entity used to describe quantity.
approximately,imprecise but close to in quantity or amount.
since,from a specified time in the past.
however,nevertheless yet still in spite of that.
infecting,to bring into contact with a substance that causes illness a pathogen.
reaction,an action or statement in response to a stimulus or other event.
specific,a distinguishing attribute or quality.
rest,of a person or animal relief from work or activity by sleeping sleep.
treatment,the process or manner of treating someone or something.
pneumonia,an acute or chronic inflammation of the lungs caused by viruses bacteria or other microorganisms or sometimes by physical or chemical irritants.
routine,a course of action to be followed regularly a standard procedure.
has,to possess own.
of,expressing distance or motion.
kit,a circular wooden vessel made of hooped staves.
published,to issue something such as printed work for distribution andor sale.
fast,a train that calls at only some stations it passes between its origin and destination typically just the principal stations
negative,refusal or withholding of assents prohibition veto
nature,the natural world that which consists of all things unaffected by or predating human technology production and design. compare ecosystem.
chest,a box now usually a large strong box with a secure convex lid.
diagnosed,to determine which disease is causing a sick persons signs and symptoms to find the diagnosis.
china,the plant smilax china a liana of much of eastern asia.
to,toward a closed touching or engaging position.
countries,chiefly british an area of land a district region.
mentally,in a mental manner an idea thought out in ones mind as opposed to an idea spoken orally.
including,to bring into a group class set or total as a new part or member.
especially,manner in a special manner specially.
receive,an operation in which data is received.
relating,to tell in a descriptive way.
various,having a broad range of different elements.
normal,a line or vector that is perpendicular to another line surface or plane.
regards,a steady look a gaze.
clause,grammar a verb its necessary grammatical arguments and any adjuncts affecting them.
bacteria,a type species or strain of bacterium.
documents,an original or official paper used as the basis proof or support of anything else including any writing book or other instrument conveying information pertinent to such proof or support.
individual,a person considered alone rather than as belonging to a group of people.
closed,physical to remove a gap.
limiting,to restrict not to allow to go beyond a certain bound to set boundaries.
exclusive,information or an artefact that is granted or obtained exclusively.
indicator,a pointer or index that indicates something.
produce,to yield make or manufacture to generate.
affirmed,to agree verify or concur to answer positively.
in,a position of power or influence or a way to get it.
vigor,active strength or force of body or mind capacity for exertion physically intellectually or morally energy.
trait,an identifying characteristic habit or trend.
convex,any convex body or surface.
context,the surroundings circumstances environment background or settings that determine specify or clarify the meaning of an event or other occurrence.
antibodies,a protein produced by blymphocytes that binds to a specific antigen.
trial,an opportunity to test something out a test.
disorder,absence of order state of not being arranged in an orderly manner.
employees,an individual who provides labor to a company or another person.
persons,an individual usually a human being.
move,the act of moving a movement.
length,the distance measured along the longest dimension of an object.
district,an administrative division of an area.
street,a paved part of road usually in a village or a town.
interstitial,a webpage usually carrying advertising displayed when leaving one content page for another.
pointer,anything that points or is used for pointing.
goods,the forces or behaviours that are the enemy of evil. usually consists of helping others and general benevolence.
but,an instance or example of using the word but.
from,used to indicate source or provenance.
make,brand or kind model.
collecting,to gather together amass.
group,a number of things or persons being in some relation to one another.
someone,a partially specified but unnamed person.
consolidating,to combine into a single unit to group together or join.
at,to reply to or talk to someone either online or facetoface. from the practice of targeting a message or reply to someone online by writing name
market,a gathering of people for the purchase and sale of merchandise at a set time often periodic.
rate,the worth of something value.
nationwide,extending throughout an entire nation.
identity,sameness identicalness the quality or fact of several specified things being the same.
known,to perceive the truth or factuality of to be certain of or that.
when,the time at which something happens.
replicate,the outcome of a replication procedure an exact copy or replica.
standard,a principle or example or measure used for comparison.
enclosed,to surround with a wall fence etc.
abounding,to be full to overflowing.
features,ones structure or makeup form shape bodily proportions.
values,the quality positive or negative that renders something desirable or valuable.
latest,near the end of a period of time.
becoming,to arrive come to a place.
true,the state of being in alignment.
proposition,the act of offering an idea for consideration.
could,auxiliary verb defective to know how to to be able to.
aid,help assistance succor relief.
selfsame,precisely the same the very same identical.
abnormalities,the state or quality of being abnormal variation irregularity.
auxiliary,a person or group that acts in an auxiliary manner.
material,matter which may be shaped or manipulated particularly in making something.
cessation,a ceasing or discontinuance for example of an action whether temporary or final.
manner,mode of action way of performing or doing anything
phrases,a short written or spoken expression.
show,a play dance or other entertainment.
demonstrative,grammar a demonstrative word
according,to make to agree or correspond to suit one thing to another to adjust.
distinct,capable of being perceived very clearly.
to,toward a closed touching or engaging position.
healthy,enjoying health and vigor of body mind or spirit well.
one,the digit or figure 1.
plant,an organism that is not an animal especially an organism capable of photosynthesis. typically a small or herbaceous organism of this kind rather than a tree.
diagnosis,to determine which disease is causing a sick persons signs and symptoms to find the diagnosis.
superfamily,a taxonomic category above family and below order and its subdivisions.
given,ditransitive to move shift provide something abstract or concrete to someone or something or somewhere.
into,to or towards the inside of.
land,the part of earth which is not covered by oceans or other bodies of water.
accounting,to provide explanation.
multitude,a great amount or number often of people abundance myriad profusion.
size,obsolete outside dialectal an assize.
two,the digitfigure 2.
nonspecific,not specific or precise.
observe,to notice or view especially carefully or with attention to detail.
great,a person of major significance accomplishment or acclaim.
agent,one who exerts power or has the power to act
help,action given to provide assistance aid.
being,a living creature.
obtained,to get hold of to gain possession of to procure to acquire in any way.
poses,common cold head cold catarrh.
population,the people living within a political or geographical boundary.
structure,a cohesive whole built up of distinct parts.
fish,a coldblooded vertebrate animal that lives in water moving with the help of fins and breathing with gills.
edible,anything edible.
effects,the result or outcome of a cause.
direction,a theoretical line physically or mentally followed from a point of origin or towards a destination. may be relative e.g. up left outbound dorsal geographical e.g. north rotational e.g. clockwise or with respect to an object or location e.g. toward boston.
results,that which results the conclusion or end to which any course or condition of things leads or which is obtained by any process or operation consequence or effect.
gene,a theoretical unit of heredity of living organisms a gene may take several values and in principle predetermines a precise trait of an organisms form phenotype such as hair color.
though,despite that however.
origin,the beginning of something.
adverse,unfavorable antagonistic in purpose or effect hostile actively opposing ones interests or wishes contrary to ones welfare acting against working in an opposing direction.
amass,a large number of things collected or piled together.
viruses,a submicroscopic noncellular structure consisting of a core of dna or rna surrounded by a protein coat that requires a living host cell to replicate and often causes disease in the host organism.
tool,a mechanical device intended to make a task easier.
manufacture,the action or process of making goods systematically or on a large scale.
suit,a set of clothes to be worn together now especially a mans matching jacket and trousers also business suit or lounge suit or a similar outfit for a woman.
way,heading to do with a place or places.
inevitable,something that is predictable necessary or cannot be avoided.
passage,a paragraph or section of text or music with particular meaning.
typical,anything that is typical normal or standard.
marketing,to make products or services available for sale and promote them.
several,an area of land in private ownership as opposed to common land.
highly,in a high or esteemed manner.
catalyze,to bring about the catalysis of a chemical reaction.
inspection,the act of examining something often closely.
abnormal,a person or object that is not normal.
minority,the state of being a minor youth the period of a persons life prior to reaching adulthood.
many,a multitude a great aggregate a mass of people the generality the common herd.
lose,to cause something to cease to be in ones possession or capability due to unfortunate or unknown circumstances events or reasons.
office,a ceremonial duty or service particularly
earth,the third planet of the solar system the world upon which humans live.
transported,to carry or bear from one place to another to remove to convey.
covered,to place something over or upon as to conceal or protect.
city,a large settlement bigger than a town sometimes with a specific legal definition depending on the place.
vaccines,a substance given to stimulate the bodys production of antibodies and provide immunity against a disease without causing the disease itself in the treatment prepared from the agent that causes the disease or a related also effective but safer disease or a synthetic substitute.
first,the person or thing in the first position.
local,a person who lives near a given place.
were,a man a husband
cases,an actual event situation or fact.
reason,a cause
died,to stop living to become dead to undergo death.
stick,an elongated piece of wood or similar material typically put to some use for example as a wand or baton.
switch,a bundle of thin sticks typically made of wood sometimes bond in such a way that binding can be moved so that it varies the tightness of the binding.
confirmed,to strengthen to make firm or resolute.
advantage,any condition circumstance opportunity or means particularly favorable to success or to any desired end.
uppermost,at a higher level rank or position.
mouth,the opening of a creature through which food is ingested.
patches,a piece of cloth or other suitable material sewed or otherwise fixed upon a garment to repair or strengthen it especially upon an old garment to cover a hole.
clauses,grammar a verb its necessary grammatical arguments and any adjuncts affecting them.
absence,a state of being away or withdrawn from a place or from companionship the period of being away.
person,an individual usually a human being.
by,a flying insect of the clade anthophila within the hymenopteran superfamily apoidea known for its organised societies though only a minority have them for collecting pollen and in some species producing wax and honey.
verb,grammar a word that indicates an action event or state.
large,an old musical note equal to two longas four breves or eight semibreves.
settlement,the act of settling.
along,in company together.
isolate,something that has been isolated.
index,an alphabetical listing of items and their location.
as,to such an extent or degree to the same extent or degree.
key,an object designed to open and close a lock.
used,to utilize or employ.
having,to possess own.
virus,a submicroscopic noncellular structure consisting of a core of dna or rna surrounded by a protein coat that requires a living host cell to replicate and often causes disease in the host organism.
a,the name of the latin script letter aa.
eastern,of facing situated in or related to the east.
implies,of a proposition to have as a necessary consequence
issue,the action or an instance of flowing or coming out an outflow particularly
gauze,a thin fabric with a loose open weave.
place,physical an area somewhere within an area.
logical,in agreement with the principles of logic.
performance,the act of performing carrying into execution or action execution achievement accomplishment representation by action.
novel,newly made formed or evolved having no precedent of recent origin new.
living,to be alive to have life.
are,an accepted but deprecated and rarely used si unit of area equal to 100 square metres or a former unit of approximately the same extent. symbol a.
state,a condition a set of circumstances applying at any given time.
specify,to state explicitly or in detail or as a condition.
indicated,to point out to discover to direct to a knowledge of to show to make known.
throat,the front part of the neck.
with,along together with others in a group etc.
links,some text or a graphic in an electronic document that can be activated to display another document or trigger an action.
agree,to harmonize in opinion statement or action to be in unison or concord to be or become united or consistent to concur.
inert,a substance that does not react chemically.
intended,usually followed by the particle to to hope to wish something or something to be accomplished be intent upon
execution,the act manner or style of executing actions maneuvers performances.
dispassionately,in a dispassionate manner
unidirectional,a fabric in which the majority of fibres run in the same single direction.
alternative,a situation which allows a mutually exclusive choice between two or more possibilities a choice between two or more possibilities.
member,one who officially belongs to a group.
documented,to record in documents.
representation,that which represents something else.
pronoun,grammar a type of noun that refers anaphorically to another noun or noun phrase but which cannot ordinarily be preceded by a determiner and rarely takes an attributive adjective. english examples include i you him who me my each other.
society,a longstanding group of people sharing cultural aspects such as language dress norms of behavior and artistic forms.
initial,the first letter of a word or a name.
substance,physical matter material.
causes,often with of typically of adverse results the source of or reason for an event or action that which produces or effects a result.
side,a bounding straight edge of a twodimensional shape.
seafood,fish shellfish seaweed and other edible aquatic life.
custom,frequent repetition of the same behavior way of behavior common to many ordinary manner habitual practice method of doing living or behaving.
unit,a particular minute unit of mass defined differently for different substances but so that varying substances of the same general type have the property that one international unit of the one has the same effect on the human body as one international unit of the other.
agreement,an understanding between entities to follow a specific course of conduct.
often,frequent.
sick,sick people in general as a group.
focus,a point at which reflected or refracted rays of light converge.
continue,an option allowing a gamer to resume play after game over when all lives have been lost.
message,a communication or what is communicated any concept or information conveyed.
formation,something possessing structure or form.
blood,a member of the los angeles gang the bloods.
circular,short for circular letter.
established,to make stable or firm to confirm.
activity,the state or quality of being active activeness.
power,ability to do or undergo something.
organised,to arrange in working order.
video,television television show movie.
condition,a logical clause or phrase that a conditional statement uses. the phrase can either be true or false.
withholding,to keep a physical object that one has obtained to oneself rather than giving it back to its owner.
possible,a possible one.
text,a writing consisting of multiple glyphs characters symbols or sentences.
human,a human being whether man woman or child.
between,a kind of needle shorter than a sharp with a small rounded eye used for making fine stitches on heavy fabrics.
comparative,grammar a construction showing a relative quality in english usually formed by adding more or appending er. for example the comparative of green is greener of evil more evil.
year,a solar year the time it takes the earth to complete one revolution of the sun between 365.24 and 365.26 days depending on the point of reference.
patchy,full of or covered with patches abounding in patches.
purchase,the acquisition of title to or property in anything for a price buying for money or its equivalent.
ditransitive,a verb that takes both an object and an indirect object.
generally,popularly or widely.
consisting,to be.
other,an other another person etc more often rendered as another.
unaffected,very rare to not affect.
here,abstract this place this location.
necessary,usually with the definite article a place to do the necessary business of urination and defecation an outhouse or lavatory.
newly,very recently in the immediate past.
medical,a medical examination.
uncovered,to remove a cover from.
same,not different or other not another or others not different as regards self selfsame identical.
sample,a part or snippet of something taken or presented for inspection or shown as evidence of the quality of the whole a specimen.
multifocal,arising from or occurring in more than one focus or location.
event,an occurrence something that happens.
respectively,in a relative manner often used when comparing lists where the term denotes that the items in the lists correspond to each other in the order they are given.
phases,phase stage
number,an abstract entity used to describe quantity.
entire,the whole of something the entirety.
insect,an arthropod in the class insecta characterized by six legs up to four wings and a chitinous exoskeleton.
capable,able and efficient having the ability needed for a specific task having the disposition to do something permitting or being susceptible to something.
easily,comfortably without discomfort or anxiety.
new,things that are new.
nursing,to breastfeed to feed a baby at the breast to suckle.
strengthen,to make strong or stronger to add strength to to increase the strength of to fortify.
specific,a distinguishing attribute or quality.
treatment,the process or manner of treating someone or something.
attached,to fasten to join to literally and figuratively.
processes,a series of events which produce a result the product.
gathered,to collect normally separate things.
specified,thoroughly explained.
kit,a circular wooden vessel made of hooped staves.
beginning,the act of doing that which begins anything commencement of an action state or space of time entrance into being or upon a course the first act effort or state of a succession of acts or states.
fast,a train that calls at only some stations it passes between its origin and destination typically just the principal stations
negative,refusal or withholding of assents prohibition veto
producing,to yield make or manufacture to generate.
vessel,any craft designed for transportation on water such as a ship or boat.
china,the plant smilax china a liana of much of eastern asia.
the,with a comparative or with more and a verb phrase establishes a correlation with one or more other such comparatives.
settings,the time place and circumstance in which something such as a story or picture is set context scenario.
quantities,a fundamental generic term used when referring to the measurement count amount of a scalar vector number of items or to some other way of denominating the value of a collection or group of items.
unknown,to undo the process of knowing to lose knowledge of something.
not,a unary operation on logical values that changes true to false and false to true.
countries,chiefly british an area of land a district region.
hymenopteran,any insect of the order hymenoptera the bees wasps and ants etc.
can,auxiliary verb defective to know how to to be able to.
injury,damage to the body of a human or animal.
latter,relating to or being the second of two items.
bad,error mistake.
passes,to change place.
meaning,of words or symbols the entity perception feeling or concept thereby represented or evoked.
knowledge,the fact of knowing about something general understanding or familiarity with a subject place situation etc.
suspected,to imagine or suppose something to be true or to exist without proof.
limitations,the act of limiting or the state of being limited.
thing,that which is considered to exist as a separate entity object quality or concept.
statement,a declaration or remark.
divided,to split or separate something into two or more parts.
more,to a greater degree or extent.
establishes,to make stable or firm to confirm.
evolved,to move in regular procession through a system.
concerning,to relate or belong to to have reference to or connection with to affect the interest of to be of importance to.
world,with the human collective existence existence in general.
all,with a possessive pronoun everything that one is capable of.
inclusive,including almost everything within its scope.
pertaining,to belong to or be a part of be an adjunct attribute or accessory of
gas,matter in a state intermediate between liquid and plasma that can be contained only if it is fully surrounded by a solid or in a bubble of liquid or held together by gravitational pull it can condense into a liquid or can rarely become a solid directly.
spite,ill will or hatred toward another accompanied with the desire to irritate annoy or thwart a want to disturb or put out another mild malice
and,in rhythm the second half of a divided beat.
pertaining,to belong to or be a part of be an adjunct attribute or accessory of
interrogative,grammar a word pronoun pronominal adjective or adverb implying interrogation or used for asking a question why who when etc.
region,any considerable and connected part of a space or surface specifically a tract of land or sea of considerable but indefinite extent a country a district in a broad sense a place without special reference to location or extent but viewed as an entity for geographical social or cultural reasons.
occurring,to happen or take place.
deaths,the cessation of life and all associated processes the end of an organisms existence as an entity independent from its environment and its return to an inert nonliving state.
things,that which is considered to exist as a separate entity object quality or concept.
wounds,an injury such as a cut stab or tear to a usually external part of the body.
identified,to establish the identity of someone or something.
imprecise,not precise or exact containing some error or uncertainty
withdrawn,to pull something back aside or away.
practice,repetition of an activity to improve a skill.
each,operations an individual item the least quantitative unit in a grouping.
varnish,a type of paint with a solvent that evaporates to leave a hard transparent glossy film.
guideline,a nonspecific rule or principle that provides direction to action or behaviour.
something,an object whose nature is yet to be defined.
worth,value.
early,a shift scheduled work period that takes place early in the day.
chest,a box now usually a large strong box with a secure convex lid.
them,plural those ones.
historically,in a historic manner with reference to history or the historical record.
core,the central part of fruit containing the kernels or seeds.
right,straight not bent.
by,a flying insect of the clade anthophila within the hymenopteran superfamily apoidea known for its organised societies though only a minority have them for collecting pollen and in some species producing wax and honey.
precedent,an act in the past which may be used as an example to help decide the outcome of similar instances in the future.
response,an answer or reply or something in the nature of an answer or reply.
treat,an entertainment outing food drink or other indulgence provided by someone for the enjoyment of others.
without,outside externally. this is still used in the names of some civil parishes in england e.g. st cuthbert without.
degree,a stage of proficiency or qualification in a course of study now especially an award bestowed by a university or in some countries a college as a certification of academic achievement. in the united states can include secondary schools.
stage,a phase.
dysfunction,a failure to function in an expected or complete manner. usually refers to a disorder in a bodily organ e.g. erectile dysfunction a mental disorder or the improper behavior of a social group.
demonstrates,to show how to use something.
only,an only child.
continent,each of the main continuous landmasses on the earths surface now generally regarded as seven in number including their related islands continental shelves etc.
act,something done a deed.
assents,agreement act of agreeing
pneumonitis,inflammation of the tissue of the lungs.
laws,the body of binding rules and regulations customs and standards established in a community by its legislative and judicial authorities.
china,the plant smilax china a liana of much of eastern asia.
immediate,happening right away instantly with no delay.
interconnected,to connect to one another.
compare,comparison.
patients,a person or animal who receives treatment from a doctor or other medically educated person.
geographical,a move to another place in the hope of curing an addiction etc.
presented,to bring someone into the presence of a person to introduce formally.
variation,the act of varying a partial change in the form position state or qualities of a thing.
aquatic,any aquatic plant.
companionship,the state of having or being a companion.
future,the time ahead those moments yet to be experienced.
undo,an operation that reverses a previous action.
strand,the shore or beach of the sea or ocean shore beach.
peripheral,a peripheral device.
circumstances,that which attends or relates to or in some way affects a fact or event an attendant thing or state of things.
caused,to set off an event or action.
details,something small enough to escape casual notice.
typically,in a typical or common manner.
any,to even the slightest extent at all.
of,expressing distance or motion.
political,a political agent or officer.
secure,to make safe to relieve from apprehensions of or exposure to danger to guard to protect.
word,the smallest unit of language that has a particular meaning and can be expressed by itself the smallest discrete meaningful unit of language. contrast morpheme.
veto,a political right to disapprove of and thereby stop the process of a decision a law etc.
therapeutic,a therapeutic agent
current,the generally unidirectional movement of a gas or fluid.
emergency,a situation which poses an immediate risk and which requires urgent attention.
examination,the act of examining.
essential,a necessary ingredient.
class,a group collection category or set sharing characteristics or attributes.
microorganisms,an organism that is too small to be seen by the unaided eye especially a singlecelled organism such as a bacterium.
makeup,an items composition.
understood,to grasp a concept fully and thoroughly especially of words statements art etc. to be aware of the meaning of and of people to be aware of the intent of.
unary,the unary numeral system the bijective base1 numeral system.
products,a commodity offered for sale.
humorous,full of humor or arousing laughter funny.
government,the body with the power to make andor enforce laws to control a country land area people or organization.
contagious,of a disease easily transmitted to others.
stimulate,to encourage into action.
form,heading physical to do with shape.
constitute,an established law.
name,any nounal word or phrase which indicates a particular person place class or thing.
highest,very elevated extending or being far above a base tall lofty.
nocturnal,a person or creature that is active at night.
performing,to do something to execute.
physical,physical examination.
abstract,an abridgement or summary of a longer publication.
dehumanized,to take away humanity to remove or deny human qualities characteristics or attributes to impersonalize.
studies,an academic field of study concerning the given subject.
province,a region of the earth or of a continent a district or country.
etc,alternative form of etc.
targeting,to aim something especially a weapon at a target.
top,the highest or uppermost part of something.
door,a portal of entry into a building room or vehicle consisting of a rigid plane movable on a hinge. doors are frequently made of wood or metal. may have a handle to help open and close a latch to hold the door closed and a lock that ensures the door cannot be opened without the key.
quite,heading to the greatest extent or degree completely entirely.
process,a series of events which produce a result the product.
recent,having happened a short while ago.
open,not closed
toward,yielding pliant docile ready or apt to learn not froward.
notice,the act of observing perception.
reply,a written or spoken response part of a conversation.
esteemed,to set a high value on to regard with respect or reverence.
well,in good health.
risk,a possible adverse event or outcome
exist,stative to be have existence have being or reality
control,influence or authority over something.
behaviours,the way a living creature behaves or acts.
recognizable,able to be recognized
protein,any of numerous large complex naturallyproduced molecules composed of one or more long chains of amino acids in which the amino acid groups are held together by peptide bonds.
five,the digitfigure 5.
nearly,with great scrutiny carefully.
gang,to go walk proceed.
use,the act of using.
transportation,the act of transporting or the state of being transported conveyance often of people goods etc.
everything,all the things under discussion.
destination,the act of destining or appointing.
takes,the or an act of taking.
coexistent,that which coexists with another.
symptom,a perceived change in some function sensation or appearance of a person that indicates a disease or disorder such as fever headache or rash.
just,factually right correct factual.
represent,to present again or anew to present by means of something standing in the place of to exhibit the counterpart or image of to typify.
or,connects at least two alternative words phrases clauses sentences etc. each of which could make a passage true. in english this is the inclusive or. the exclusive or is formed by either ... or.
